"Meetnet";"ID";"IDPlots";"Date";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"MONEOS";"IV2013112612101728";"ZSCPQ131";"2013-09-20";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;9;3;55,5555555555556;0
"MONEOS";"IV2013112612190184";"ZSCPQ127";"2013-09-20";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112612190184";"ZSCPQ127";"2013-09-20";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;9;3;55,5555555555556;0
"MONEOS";"IV2013112613395719";"ZSCPQ074";"2013-09-23";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;2;6;2;33,3333333333333;0
"MONEOS";"IV2013112613395719";"ZSCPQ074";"2013-09-23";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;2;7;3;28,5714285714286;0
"MONEOS";"IV2013112613475490";"ZSCPQ128";"2013-09-23";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112613475490";"ZSCPQ128";"2013-09-23";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112614015766";"ZSCPQ130";"2013-09-23";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112614015766";"ZSCPQ130";"2013-09-23";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2013112615285945";"ZSCPQ120";"2013-09-24";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112615285945";"ZSCPQ120";"2013-09-24";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112615371071";"ZSCPQ134";"2013-09-24";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2013112615371071";"ZSCPQ134";"2013-09-24";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;3;62,5;0
"MONEOS";"IV2013112615563116";"ZSCPQ119";"2013-09-25";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112615563116";"ZSCPQ119";"2013-09-25";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112616044360";"ZSCPQ124";"2013-09-25";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112616044360";"ZSCPQ124";"2013-09-25";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112616175459";"ZSCPQ125";"2013-09-25";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112616175459";"ZSCPQ125";"2013-09-25";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112616275443";"ZSCPQ126";"2013-09-25";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2013112616275443";"ZSCPQ126";"2013-09-25";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;3;62,5;0
"MONEOS";"IV2013112710155983";"ZSCPQ122";"2013-09-26";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112710155983";"ZSCPQ122";"2013-09-26";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112710235801";"ZSCPQ123";"2013-09-26";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112710235801";"ZSCPQ123";"2013-09-26";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2013112711302429";"ZSCPQ220";"2013-09-30";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2013112711302429";"ZSCPQ220";"2013-09-30";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014062012014346";"ZSCPQ301";"2013-09-03";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014062012014346";"ZSCPQ301";"2013-09-03";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;7;8;1;87,5;0
"MONEOS";"IV2014092314083739";"ZSCPQ119";"1995-08-28";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014092314083739";"ZSCPQ119";"1995-08-28";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014092316054851";"ZSCPQ122";"1995-09-01";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014092316054851";"ZSCPQ122";"1995-09-01";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014092910023849";"ZSCPQ074";"1995-08-10";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;3;6;1;50;0
"MONEOS";"IV2014092910023849";"ZSCPQ074";"1995-08-10";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;3;7;2;42,8571428571429;0
"MONEOS";"IV2014093015031050";"ZSCPQ120";"1995-08-28";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014093015031050";"ZSCPQ120";"1995-08-28";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014093015235050";"ZSCPQ123";"1995-09-01";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014093015235050";"ZSCPQ123";"1995-09-01";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014093015403871";"ZSCPQ124";"1995-09-01";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014093015403871";"ZSCPQ124";"1995-09-01";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014093016085893";"ZSCPQ125";"1995-09-01";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014093016085893";"ZSCPQ125";"1995-09-01";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;1;75;0
"MONEOS";"IV2014093016274790";"ZSCPQ126";"1995-09-06";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014093016274790";"ZSCPQ126";"1995-09-06";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;3;62,5;0
"MONEOS";"IV2014093016433867";"ZSCPQ127";"1995-09-06";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014093016433867";"ZSCPQ127";"1995-09-06";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;9;2;66,6666666666667;0
"MONEOS";"IV2014100209045929";"ZSCPQ128";"1995-09-08";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100209045929";"ZSCPQ128";"1995-09-08";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014100209440695";"ZSCPQ130";"1995-09-12";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100209440695";"ZSCPQ130";"1995-09-12";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014100210040529";"ZSCPQ131";"1995-09-12";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;6;8;1;75;0
"MONEOS";"IV2014100210040529";"ZSCPQ131";"1995-09-12";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;9;2;66,6666666666667;0
"MONEOS";"IV2014100211230864";"ZSCPQ134";"1995-09-12";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014100211230864";"ZSCPQ134";"1995-09-12";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;3;62,5;0
"MONEOS";"IV2014100211365571";"ZSCPQ135";"1995-09-14";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100211365571";"ZSCPQ135";"1995-09-14";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014100212054626";"ZSCPQ137";"1995-09-14";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014100212054626";"ZSCPQ137";"1995-09-14";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;3;50;0
"MONEOS";"IV2014100608450655";"ZSCPQ138";"1995-09-14";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100608450655";"ZSCPQ138";"1995-09-14";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014100609195535";"ZSCPQ140";"1995-09-21";"91E0";"91E0_sf";"Versie 2.0";"Buiten";1;45,1;45,1;3;7;3;42,8571428571429;0
"MONEOS";"IV2014100609195535";"ZSCPQ140";"1995-09-21";"91E0";"91E0_sf";"Versie 3";"Buiten";1;45,1;45,1;3;8;4;37,5;0
"MONEOS";"IV2014100609552068";"ZSCPQ142";"1995-09-22";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100609552068";"ZSCPQ142";"1995-09-22";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014100611214378";"ZSCPQ145";"1995-09-22";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100611214378";"ZSCPQ145";"1995-09-22";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014100611345220";"ZSCPQ146";"1995-09-22";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014100611345220";"ZSCPQ146";"1995-09-22";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014100611504108";"ZSCPQ147";"1995-09-22";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014100611504108";"ZSCPQ147";"1995-09-22";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014100615372310";"ZSCPQ149";"1995-09-29";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014100615372310";"ZSCPQ149";"1995-09-29";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;3;62,5;0
"MONEOS";"IV2014100615524675";"ZSCPQ150";"1995-09-29";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;2;57,1428571428571;0
"MONEOS";"IV2014100615524675";"ZSCPQ150";"1995-09-29";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;3;62,5;0
"MONEOS";"IV2014100616071246";"ZSCPQ151";"1995-10-02";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100616071246";"ZSCPQ151";"1995-10-02";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;6;8;2;75;0
"MONEOS";"IV2014100616283664";"ZSCPQ152";"1995-10-02";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;1;57,1428571428571;0
"MONEOS";"IV2014100616283664";"ZSCPQ152";"1995-10-02";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;1;62,5;0
"MONEOS";"IV2014100616415137";"ZSCPQ153";"1995-10-02";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;4;7;1;57,1428571428571;0
"MONEOS";"IV2014100616415137";"ZSCPQ153";"1995-10-02";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;4;8;2;50;0
"MONEOS";"IV2014100708534297";"ZSCPQ154";"1995-10-02";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100708534297";"ZSCPQ154";"1995-10-02";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2014100709100876";"ZSCPQ156";"1995-10-03";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2014100709100876";"ZSCPQ156";"1995-10-03";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
"MONEOS";"IV2016082615482072";"ZSCPQ301";"2016-08-25";"91E0";"91E0_sf";"Versie 2.0";"Binnen";1;10,2448275862069;10,2448275862069;5;7;1;71,4285714285714;0
"MONEOS";"IV2016082615482072";"ZSCPQ301";"2016-08-25";"91E0";"91E0_sf";"Versie 3";"Binnen";1;10,2448275862069;10,2448275862069;5;8;2;62,5;0
