"ID";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
18546;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,894104962028499;14,8423076923077;13,2705809556461;5;7;0;71,4285714285714;1
18546;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,894104962028499;14,8423076923077;13,2705809556461;7;10;1;70;0
20217;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;3;7;0;42,8571428571429;0
20217;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;10;2;50;0
38545;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;5;9;1;55,5555555555556;0
38545;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;9;12;1;75;0
41814;6510;"6510_hu";"Versie 2.0";"Buiten";"Atlantic";0,637587473719097;304,3;194,017868252721;5;7;0;71,4285714285714;1
41814;6510;"6510_hu";"Versie 3";"Buiten";"Atlantic";0,637587473719097;304,3;194,017868252721;7;10;1;70;0
47446;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,544040717384114;14,8423076923077;8,07481972455883;5;7;0;71,4285714285714;1
47446;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,544040717384114;14,8423076923077;8,07481972455883;7;10;1;70;0
63270;6510;"6510_hu";"Versie 2.0";"Buiten";"Atlantic";0,576519132591985;304,3;175,434772047741;4;7;0;57,1428571428571;1
63270;6510;"6510_hu";"Versie 3";"Buiten";"Atlantic";0,576519132591985;304,3;175,434772047741;6;10;1;60;0
78294;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;4;7;0;57,1428571428571;1
78294;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;8;10;0;80;1
79986;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,690272672072116;14,8423076923077;10,2452393904858;3;7;0;42,8571428571429;0
79986;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,690272672072116;14,8423076923077;10,2452393904858;7;10;0;70;1
99521;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,560624269479122;14,8423076923077;8,32095790738435;4;7;0;57,1428571428571;1
99521;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,560624269479122;14,8423076923077;8,32095790738435;6;10;1;60;0
118441;6510;"6510_hu";"Versie 2.0";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581;3;7;1;42,8571428571429;0
118441;6510;"6510_hu";"Versie 3";"Buiten";"Atlantic";0,124808913397496;304,3;37,9793523468581;5;10;2;50;0
127218;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;7;0;71,4285714285714;1
127218;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;7;10;0;70;1
143382;6510;"6510_hu";"Versie 2.0";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569;4;7;0;57,1428571428571;1
143382;6510;"6510_hu";"Versie 3";"Buiten";"Atlantic";0,922031742351525;304,3;280,574259197569;7;10;1;70;0
162790;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,685502935968961;14,8423076923077;10,1744454996316;4;7;0;57,1428571428571;1
162790;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,685502935968961;14,8423076923077;10,1744454996316;8;10;1;80;0
206134;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,797450754551543;14,8423076923077;11,8360094685169;3;7;0;42,8571428571429;0
206134;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,797450754551543;14,8423076923077;11,8360094685169;5;10;1;50;0
231702;6510;"6510_hus";"Versie 2.0";"Binnen";"Atlantic";0,888326262181175;5,06666666666667;4,50085306171795;4;7;1;57,1428571428571;0
231702;6510;"6510_hus";"Versie 3";"Binnen";"Atlantic";0,888326262181175;5,06666666666667;4,50085306171795;7;10;1;70;0
243846;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;7;0;71,4285714285714;1
243846;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;7;10;1;70;0
258390;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;4;7;0;57,1428571428571;1
258390;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;8;10;0;80;1
308098;6510;"6510_huk";"Versie 2.0";"Binnen";"Continental";0,831717206774397;8,92;7,41891748442762;3;7;0;42,8571428571429;0
308098;6510;"6510_huk";"Versie 3";"Binnen";"Continental";0,831717206774397;8,92;7,41891748442762;4;10;1;40;0
327153;6510;"6510_hus";"Versie 2.0";"Buiten";"Atlantic";0,734399853701224;1,46666666666667;1,07711978542846;5;7;0;71,4285714285714;1
327153;6510;"6510_hus";"Versie 3";"Buiten";"Atlantic";0,734399853701224;1,46666666666667;1,07711978542846;7;10;1;70;0
333385;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,535834413435679;14,8423076923077;7,95301923633955;3;7;0;42,8571428571429;0
333385;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,535834413435679;14,8423076923077;7,95301923633955;6;10;1;60;0
366225;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;6;9;1;66,6666666666667;0
366225;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;9;12;1;75;0
386674;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,826190011034674;14,8423076923077;12,2625663560877;4;7;0;57,1428571428571;1
386674;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,826190011034674;14,8423076923077;12,2625663560877;7;10;1;70;0
398529;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,313336785431129;14,8423076923077;4,65064098068741;4;7;0;57,1428571428571;1
398529;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,313336785431129;14,8423076923077;4,65064098068741;7;10;0;70;1
409654;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,844637247864529;14,8423076923077;12,5363659211893;5;7;0;71,4285714285714;1
409654;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,844637247864529;14,8423076923077;12,5363659211893;7;10;1;70;0
452066;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;4;7;0;57,1428571428571;1
452066;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;10;2;50;0
501046;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;7;0;71,4285714285714;1
501046;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;8;10;0;80;1
528582;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,731927057455778;14,8423076923077;10,863486595084;5;7;0;71,4285714285714;1
528582;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,731927057455778;14,8423076923077;10,863486595084;7;10;1;70;0
556006;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;4;7;0;57,1428571428571;1
556006;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;7;10;1;70;0
576033;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,542693794995355;14,8423076923077;8,05482828802721;3;7;0;42,8571428571429;0
576033;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,542693794995355;14,8423076923077;8,05482828802721;6;10;0;60;1
589110;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;7;0;71,4285714285714;1
589110;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;7;10;1;70;0
589698;6510;"6510_huk";"Versie 2.0";"Binnen";"Continental";0,59097963634118;8,92;5,27153835616332;3;7;0;42,8571428571429;0
589698;6510;"6510_huk";"Versie 3";"Binnen";"Continental";0,59097963634118;8,92;5,27153835616332;6;10;0;60;1
605493;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,528374762306686;14,8423076923077;7,84230079900578;4;7;0;57,1428571428571;1
605493;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,528374762306686;14,8423076923077;7,84230079900578;7;10;1;70;0
636561;6510;"6510_hus";"Versie 2.0";"Buiten";"Atlantic";1;1,46666666666667;1,46666666666667;3;7;1;42,8571428571429;0
636561;6510;"6510_hus";"Versie 3";"Buiten";"Atlantic";1;1,46666666666667;1,46666666666667;6;10;2;60;0
643970;6510;"6510_hu";"Versie 2.0";"Binnen";"Continental";1;14,8423076923077;14,8423076923077;4;7;0;57,1428571428571;1
643970;6510;"6510_hu";"Versie 3";"Binnen";"Continental";1;14,8423076923077;14,8423076923077;6;10;1;60;0
659794;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";0,55040691510779;14,8423076923077;8,1693087900037;1;7;1;14,2857142857143;0
659794;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";0,55040691510779;14,8423076923077;8,1693087900037;5;10;1;50;0
676914;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;7;0;71,4285714285714;1
676914;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;7;10;1;70;0
677174;6510;"6510_hu";"Versie 2.0";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;5;7;0;71,4285714285714;1
677174;6510;"6510_hu";"Versie 3";"Binnen";"Atlantic";1;14,8423076923077;14,8423076923077;8;10;1;80;0
720369;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;7;9;1;77,7777777777778;0
720369;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;8;12;2;66,6666666666667;0
845457;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;7;9;0;77,7777777777778;1
845457;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;9;12;1;75;0
968217;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;6;9;0;66,6666666666667;1
968217;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;8;12;2;66,6666666666667;0
980625;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;7;9;1;77,7777777777778;0
980625;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;10;12;1;83,3333333333333;0
1007490;6510;"6510_huk";"Versie 2.0";"Buiten";"Continental";1;20,7;20,7;3;7;1;42,8571428571429;0
1007490;6510;"6510_huk";"Versie 3";"Buiten";"Continental";1;20,7;20,7;6;10;1;60;0
1152657;6510;"6510_hua";"Versie 2.0";"Buiten";"Atlantic";1;15,1;15,1;6;9;0;66,6666666666667;1
1152657;6510;"6510_hua";"Versie 3";"Buiten";"Atlantic";1;15,1;15,1;9;12;1;75;0
1280278;6510;"6510_hus";"Versie 2.0";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667;4;7;1;57,1428571428571;0
1280278;6510;"6510_hus";"Versie 3";"Binnen";"Atlantic";1;5,06666666666667;5,06666666666667;6;10;2;60;0
1487746;6510;"6510_huk";"Versie 2.0";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719;6;7;0;85,7142857142857;1
1487746;6510;"6510_huk";"Versie 3";"Binnen";"Continental";0,585855240148789;8,92;5,22582874212719;8;10;1;80;0
1569666;6510;"6510_huk";"Versie 2.0";"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062;3;7;1;42,8571428571429;0
1569666;6510;"6510_huk";"Versie 3";"Binnen";"Continental";0,652432110695137;8,92;5,81969442740062;7;10;1;70;0
1618818;6510;"6510_huk";"Versie 2.0";"Binnen";"Continental";1;8,92;8,92;5;7;0;71,4285714285714;1
1618818;6510;"6510_huk";"Versie 3";"Binnen";"Continental";1;8,92;8,92;8;10;0;80;1
2328854;6510;"6510_hus";"Versie 2.0";"Binnen";"Atlantic";0,893693320539885;5,06666666666667;4,52804615740208;5;7;0;71,4285714285714;1
2328854;6510;"6510_hus";"Versie 3";"Binnen";"Atlantic";0,893693320539885;5,06666666666667;4,52804615740208;7;10;1;70;0
2867990;6510;"6510_hus";"Versie 2.0";"Buiten";"Atlantic";0,931165467696743;1,46666666666667;1,36570935262189;4;7;0;57,1428571428571;1
2867990;6510;"6510_hus";"Versie 3";"Buiten";"Atlantic";0,931165467696743;1,46666666666667;1,36570935262189;7;10;1;70;0
