"ID";"IDPlots";"TypePlot";"Habitattype";"PlotWeight";"HabTarget1";"HabTarget2";"SBZH";"BiogeoRegio";"StratumWeight";"fps"
"IV2017012711431363";"743982";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6230_hn";"Binnen";"Atlantic";2,27842490061699;456
"IV2017012713022515";"58433";"vegetatieplot";"6230_hn";75;"6230_hmo";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017012714021766";"1436718";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017012715472176";"4390190";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017012716564741";"2760937";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017013011141972";"857298";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017013012265239";"627922";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017013013143717";"87250";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017013015085454";"1115122";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2017013016040477";"619506";"vegetatieplot";"6230_ha";100;"6230_hn";NA;"Buiten";"Atlantic";12,5627202244204;377
"IV2017020111393906";"340978";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2017020120160542";"1711014";"vegetatieplot";"6230_ha";30;"6230_ha";"6230_hmo";"Binnen";"Atlantic";9,00623917481993;1351
"IV2017020121221303";"3276198";"vegetatieplot";"6230_hmo";50;"6230_hmo";"6230_hn";"Buiten";"Atlantic";2,92792882668883;88
"IV2017020211373000";"487606";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Buiten";"Atlantic";2,92792882668883;88
"IV2017020308555607";"2173889";"vegetatieplot";"6410_mo";100;"6410_ve";"7140_meso";"Binnen";"Atlantic";0,365917673627072;84
"IV2017020309320429";"4008897";"vegetatieplot";"6410_mo";100;"6410_ve";"7140_meso";"Binnen";"Atlantic";0,365917673627072;84
"IV2017020310250354";"10766985";"vegetatieplot";"6410_mo";100;"6410_ve";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017020318234508";"282614";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017020318480754";"856054";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017020319064156";"170798";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017020714540212";"863862";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017020813570832";"1013294";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017020814462786";"518902";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017020815451966";"14029138";"vegetatieplot";"6120";100;"6120";NA;"Binnen";"Atlantic";5,92188661716822;237
"IV2017020912043705";"20320594";"vegetatieplot";"6120";100;"6120";NA;"Binnen";"Atlantic";5,92188661716822;237
"IV2017020914342201";"11366482";"vegetatieplot";"6120";100;"6120";NA;"Binnen";"Atlantic";5,92188661716822;237
"IV2017020916182461";"4501586";"vegetatieplot";"6120";100;"6120";NA;"Binnen";"Atlantic";5,92188661716822;237
"IV2017021009570606";"2468182";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017021011372088";"4042038";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021012413096";"544902";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Binnen";"Atlantic";9,00623917481993;1351
"IV2017021017031808";"1618054";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017021017402906";"6152326";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021018144986";"1286278";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017021311152342";"4975814";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021312171588";"4598982";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021313081237";"9087041";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017021314165316";"2898758";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021315595672";"1022766";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6410_mo";"Binnen";"Atlantic";2,27842490061699;456
"IV2017021411231990";"3016210";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017021414091295";"498886";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021414350820";"654598";"vegetatieplot";"6230_ha";100;"6230_ha";NA;"Buiten";"Atlantic";12,5627202244204;377
"IV2017021415171476";"753630";"vegetatieplot";"6230_hmo";100;"6230_ha";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017021415590760";"979286";"vegetatieplot";"6230_hmo";100;"6230_ha";"6230_hmo";"Binnen";"Atlantic";2,27842490061699;456
"IV2017021416154407";"1062930";"vegetatieplot";"6410_mo";100;"6410_ve";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021416161173";"1346134";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Buiten";"Atlantic";18,8807767301322;189
"IV2017021416585251";"1474526";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6230_hn";"Binnen";"Atlantic";2,27842490061699;456
"IV2017021417294457";"1884126";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6230_hn";"Binnen";"Atlantic";2,27842490061699;456
"IV2017021511162976";"311262";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017021512035316";"880094";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017021513104974";"482290";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021513172295";"3777298";"vegetatieplot";"6410_mo";100;"6410_ve";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017021513305863";"267986";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021513582966";"1388150";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021514480221";"923346";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021515052872";"419538";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017021515263591";"943826";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017021515505552";"271030";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021516075256";"103094";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021516261649";"959958";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017021710262223";"1087350";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021710534965";"3219382";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021712152647";"1749942";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021712361732";"702674";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2017021713122588";"3732406";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021716440979";"1635254";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017021717085050";"4026418";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017021717285026";"2225078";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017022011205318";"1583446";"vegetatieplot";"6410_mo";100;"6410_ve";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017022013121858";"5783154";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017022014150360";"414646";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017022015390187";"905382";"vegetatieplot";"6410_mo";100;"6410_ve";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017022111183354";"1004470";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2017022112545290";"3008870";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017022115375527";"4057446";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017022211385297";"3741830";"vegetatieplot";"6410_mo";100;"6230_hmo";"6410_ve";"Binnen";"Atlantic";0,365917673627072;84
"IV2017022213011877";"1156230";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017022315312444";"2160774";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017022318064503";"2839602";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017022410371769";"742450";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017022412465341";"480306";"vegetatieplot";"6410_mo";100;"6230_ha";"6410_mo";"Binnen";"Atlantic";0,365917673627072;84
"IV2017112908460816";"1036446";"vegetatieplot";"6230_hmo";100;"6230_hn";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017112912580483";"823129";"vegetatieplot";"6230_hmo";100;"6230_ha";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2017112913583445";"1428270";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2017112915243954";"1642233";"vegetatieplot";"6410_mo";100;"6410_ve";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017113010102631";"6645958";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017113011505228";"6194105";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2017120108115051";"1348277";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017120109032402";"299701";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017120111004036";"1403657";"vegetatieplot";"1330_hpr";100;"1330_hpr";NA;"Binnen";"Atlantic";6,62466184943237;1060
"IV2017120111463956";"4599942";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2017120112090282";"2334854";"vegetatieplot";"6230_hmo";100;"6230_hmo";"7140_meso";"Binnen";"Atlantic";2,27842490061699;456
"IV2017120112565263";"1040518";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2017120114192219";"2813697";"vegetatieplot";"6230_hn";80;"6230_hmo";"6230_hn";"Binnen";"Atlantic";5,42646267659061;922
"IV2017120117414722";"8158406";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017120118231406";"8121542";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2017120118520910";"7072966";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,365917673627072;84
"IV2018030220035638";"1443378";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2018030221161700";"332786";"vegetatieplot";"6230_hn";100;"6230";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2018030415500950";"1085366";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2018030416251801";"983990";"vegetatieplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";5,42646267659061;922
"IV2018030418071744";"309458";"vegetatieplot";"6230_hmo";100;"6230_hmo";"6230_hn";"Binnen";"Atlantic";2,27842490061699;456
"IV2018030512111847";"2133926";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2018030513530737";"2264998";"vegetatieplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";2,27842490061699;456
"IV2018030514594211";"3734950";"vegetatieplot";"6230_hn";100;"6230_hmo";NA;"Buiten";"Atlantic";9,17159716811805;734
"IV2018030614122464";"7203174";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2018030711265492";"5624882";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
"IV2018030714233862";"6948370";"vegetatieplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,729345731337661;66
"IV2018030715551163";"783954";"vegetatieplot";"6230_ha";100;"6230_ha";"6230_hn";"Binnen";"Atlantic";9,00623917481993;1351
"IV2018030719244841";"1140434";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2018030719484292";"1468114";"vegetatieplot";"7140_oli";70;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2018031009213148";"1367026";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2018031010191687";"222518";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2018031021192601";"1576886";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2018031109022283";"471990";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2018031113042338";"369974";"vegetatieplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";5,18362950735022;1192
"IV2018031113285776";"717750";"vegetatieplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";8,38547727868332;922
"IV2018082008574310";"589698";"vegetatieplot";"6230_hnk";100;"6230_hnk";NA;"Binnen";"Continental";3,4240125715217;34
"IV2018082408442571";"6102322";"vegetatieplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";3,07492932108213;338
