"";"ID";"Habitattype";"RecordingGivid";"UserReference";"LocationCode";"Observer";"VagueDateBegin";"Kolom1";"Betrouwbaarheid";"Waterpeil";"Regio";"SBZH";"ID_Plas";"OppKl";"Oppervlakte_plas"
"50";"AN_KAL_004_3130a_16";"3130_aom";"IV2017032009542119";"AN_KAL_004_3130a_16";"AN_KAL_004";"Vincent Smeekens & Kevin Scheers";"2016-11-04";"AN_KAL_004";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";"BL_16696";"1 ha < Opp <= 5 ha";16361,627731
"51";"AN_KAL_006_3160_17";"3160";"IV2018022811012850";"AN_KAL_006_3160_17";"AN_KAL_006";"Vincent Smeekens & Kevin Scheers";"2017-10-27";"AN_KAL_006";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"5 ha < Opp < 50 ha";417914,873924
"52";"AN_KAL_007_3160_16";"3160";"IV2017032009323636";"AN_KAL_007_3160_16";"AN_KAL_007";"Vincent Smeekens & Kevin Scheers";"2016-11-04";"AN_KAL_007";"hoog";"Normaal";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";37545,878696
"53";"AN_KDN_001_3130a_16";"3130_aom";"IV2018030109342549";"AN_KDN_001_3130a_16";"AN_KDN_001";"Vincent Smeekens & Kevin Scheers";"2016-10-14";"AN_KDN_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"4844";"Opp <= 1 ha";2815,375767
"54";"AN_KDN_002_3130a_16";"3130_aom";"IV2017030215512887";"AN_KDN_002_3130a_16";"AN_KDN_002";"Vincent Smeekens";"2016-10-14";"AN_KDN_002";"hoog";NA;"Atlantisch";"binnen";"4825";"Opp <= 1 ha";2290,394165
"55";"AN_KDN_002_3140_16";"3140";"IV2017030216035187";"AN_KDN_002_3140_16";"AN_KDN_002";"Vincent Smeekens";"2016-10-14";"AN_KDN_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"4825";"Opp <= 1 ha";2290,394165
"56";"AN_KDN_003_3130a_17";"3130_aom";"IV2018030607421066";"AN_KDN_003_3130a_17";"AN_KDN_003";"Vincent Smeekens";"2017-06-23";"AN_KDN_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";1388,593571
"57";"AN_KDN_003_3140_17";"3140";"IV2018030607315791";"AN_KDN_003_3140_17";"AN_KDN_003";"Vincent Smeekens";"2017-06-23";"AN_KDN_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";1388,593571
"58";"AN_KSV_001_3160_18";"3160";"IV2018101206332344";"AN_KSV_001_3160_18";"AN_KSV_001";"Vincent Smeekens";"2018-09-25";"AN_KSV_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_16571";"1 ha < Opp <= 5 ha";17019,908485
"59";"AN_KSV_004_3160_17";"3160";"IV2018022808283147";"AN_KSV_004_3160_17";"AN_KSV_004";"Vincent Smeekens";"2017-10-10";"AN_KSV_004";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_16583";"Opp <= 1 ha";1780,523212
"60";"AN_KSV_005_3160_17";"3160";"IV2018022808192220";"AN_KSV_005_3160_17";"AN_KSV_005";"Vincent Smeekens";"2017-10-06";"AN_KSV_005";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_16610";"Opp <= 1 ha";3748,376251
"61";"AN_KVD_003_3130a_17";"3130_aom";"IV2018020911594119";"AN_KVD_003_3130a_17";"AN_KVD_003";"Vincent Smeekens";"2017-09-15";"AN_KVD_003";"hoog";"Normaal";"Atlantisch";"binnen";"BL_13147";"1 ha < Opp <= 5 ha";26129,43882
"62";"AN_KVD_003_3160_17";"3160";"IV2018020912063019";"AN_KVD_003_3160_17";"AN_KVD_003";"Vincent Smeekens";"2017-09-15";"AN_KVD_003";"hoog";"Normaal";"Atlantisch";"binnen";"BL_13147";"1 ha < Opp <= 5 ha";26129,43882
"63";"AN_LDL_001_3160_16";"3160";"IV2017040410373172";"AN_LDL_001_3160_16";"AN_LDL_001";"Vincent Smeekens";"2016-09-08";"AN_LDL_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"8225";"1 ha < Opp <= 5 ha";21852,945663
"64";"AN_LDL_002_3130a_16";"3130_aom";"IV2017040410525894";"AN_LDL_002_3130a_16";"AN_LDL_002";"Vincent Smeekens & Kevin Scheers";"2016-09-15";"AN_LDL_002";"hoog";"Normaal";"Atlantisch";"binnen";"187";"Opp <= 1 ha";1806,009232
"65";"AN_LDL_003_3160_16";"3160";"IV2017040410453770";"AN_LDL_003_3160_16";"AN_LDL_003";"Vincent Smeekens";"2016-09-08";"AN_LDL_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"17102";"Opp <= 1 ha";579,358772
"66";"AN_LDL_004_3130a_18";"3130_aom";"IV2018091008414123";"AN_LDL_004_3130a_18";"AN_LDL_004";"Vincent Smeekens en Jonathan Verborgt";"2018-08-31";"AN_LDL_004";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_13858";"1 ha < Opp <= 5 ha";10566,899303
"67";"AN_LIL_001_3130a_16";"3130_aom";"IV2017032010493372";"AN_LIL_001_3130a_16";"AN_LIL_001";"Vincent Smeekens";"2016-10-13";"AN_LIL_001";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"4849";"Opp <= 1 ha";780,394421
"68";"AN_MEC_002_3150_18";"3150";"IV2018082814440090";"AN_MEC_002_3150_18";"AN_MEC_002";"Vincent Smeekens";"2018-06-06";"AN_MEC_002";"hoog";"Normaal";"Atlantisch";"buiten";"BL_19156";"Opp <= 1 ha";61,166452
"69";"AN_MOE_001_3130a_17";"3130_aom";"IV2018022809230402";"AN_MOE_001_3130a_17";"AN_MOE_001";"Vincent Smeekens";"2017-09-29";"AN_MOE_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_19615";"Opp <= 1 ha";524,855659
"70";"AN_MOE_001_3140_17";"3140";"IV2018022809172113";"AN_MOE_001_3140_17";"AN_MOE_001";"Vincent Smeekens";"2017-09-29";"AN_MOE_001";"hoog";"Normaal";"Atlantisch";"binnen";"BL_19615";"Opp <= 1 ha";524,855659
"71";"AN_MOL_001_3130n_14";"3130_na";"IV2018102513241287";"AN_MOL_001_3130n_14";"AN_MOL_001";"Jo Packet & Luc Denys";"2014-09-01";"AN_MOL_001";"hoog";"Normaal";"Atlantisch";"buiten";"1545";"> 50 ha";1366822,132057
"72";"AN_MOL_001_3140_14";"3140";"IV2018102513330797";"AN_MOL_001_3140_14";"AN_MOL_001";"Jo Packet & Luc Denys";"2014-09-01";"AN_MOL_001";"hoog";"Normaal";"Atlantisch";"buiten";"1545";"> 50 ha";1366822,132057
"73";"AN_MOL_001_3150_14";"3150";"IV2018102513371536";"AN_MOL_001_3150_14";"AN_MOL_001";"Jo Packet & Luc Denys";"2014-09-01";"AN_MOL_001";"hoog";"Normaal";"Atlantisch";"buiten";"1545";"> 50 ha";1366822,132057
"74";"AN_MOL_002_3150_14";"3150";"IV2018102513452791";"AN_MOL_002_3150_14";"AN_MOL_002";"Jo Packet & Luc Denys";"2014-09-01";"AN_MOL_002";"hoog";"Normaal";"Atlantisch";"buiten";"5079";"> 50 ha";883809,182934
"75";"AN_MOL_003_3130a_16";"3130_aom";"IV2017032011335845";"AN_MOL_003_3130a_16";"AN_MOL_003";"Vincent Smeekens";"2016-10-13";"AN_MOL_003";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";8644,193672
"76";"AN_MOL_003_3140_16";"3140";"IV2017032011233563";"AN_MOL_003_3140_16";"AN_MOL_003";"Vincent Smeekens";"2016-10-13";"AN_MOL_003";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";8644,193672
"77";"AN_MOL_003_3160_16";"3160";"IV2017032011441776";"AN_MOL_003_3160_16";"AN_MOL_003";"Vincent Smeekens";"2016-10-13";"AN_MOL_003";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";8644,193672
"78";"AN_MOS_002_3160_18";"3160";"IV2018083009213994";"AN_MOS_002_3160_18";"AN_MOS_002";"Vincent Smeekens";"2018-07-18";"AN_MOS_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_16911";"Opp <= 1 ha";120,661869
"79";"AN_OLB_002_3130a_18";"3130_aom";"IV2018083010065136";"AN_OLB_002_3130a_18";"AN_OLB_002";"Vincent Smeekens";"2018-06-18";"AN_OLB_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_6109";"Opp <= 1 ha";118,193451
"80";"AN_RAV_002_3130a_17";"3130_aom";"IV2018022808000208";"AN_RAV_002_3130a_17";"AN_RAV_002";"Vincent Smeekens";"2017-09-15";"AN_RAV_002";"hoog";"Normaal";"Atlantisch";"binnen";"BL_13081";"Opp <= 1 ha";2163,513268
"81";"AN_RAV_003_3130a_18";"3130_aom";"IV2018082110485943";"AN_RAV_003_3130a_18";"AN_RAV_003";"Vincent Smeekens";"2018-06-04";"AN_RAV_003";NA;"Normaal";"Atlantisch";"binnen";"BL_12834";"1 ha < Opp <= 5 ha";11572,732212
"82";"AN_RPT_002_3130a_16";"3130_aom";"IV2017032810490646";"AN_RPT_002_3130a_16";"AN_RPT_002";"Vincent Smeekens";"2016-09-09";"AN_RPT_002";"hoog";NA;"Atlantisch";"binnen";"16556";"5 ha < Opp < 50 ha";142741,603577
"83";"AN_RPT_002_3130n_16";"3130_na";"IV2017032810361983";"AN_RPT_002_3130n_16";"AN_RPT_002";"Vincent Smeekens";"2016-09-09";"AN_RPT_002";"hoog";"Normaal";"Atlantisch";"binnen";"16556";"5 ha < Opp < 50 ha";142741,603577
"84";"AN_RPT_003_3130a_17";"3130_aom";"IV2017120707423829";"AN_RPT_003_3130a_17";"AN_RPT_003";"Vincent Smeekens";"2017-07-26";"AN_RPT_003";"hoog";"Normaal";"Atlantisch";"binnen";"5055";"5 ha < Opp < 50 ha";51862,660225
"85";"AN_RPT_003_3130n_17";"3130_na";"IV2017120707501887";"AN_RPT_003_3130n_17";"AN_RPT_003";"Vincent Smeekens";"2017-07-26";"AN_RPT_003";"hoog";"Normaal";"Atlantisch";"binnen";"5055";"5 ha < Opp < 50 ha";51862,660225
"86";"AN_RPT_005_3140_18";"3150";"IV2018082714551969";"AN_RPT_005_3140_18";"AN_RPT_005";"Vincent Smeekens";"2018-07-20";"AN_RPT_005";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_14586";"Opp <= 1 ha";2540,804508
"87";"AN_RPT_005_3150_18";"3150";"IV2018082714371371";"AN_RPT_005_3150_18";"AN_RPT_005";"Vincent Smeekens";"2018-07-20";"AN_RPT_005";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_14586";"Opp <= 1 ha";2540,804508
"88";"AN_RVS_002_3130n_17";"3130_na";"IV2017121311203577";"AN_RVS_002_3130n_17";"AN_RVS_002";"Vincent Smeekens & Kevin Scheers";"2017-09-01";"AN_RVS_002";"hoog";"Normaal";"Atlantisch";"binnen";"8278";"5 ha < Opp < 50 ha";152751,473328
"89";"AN_SEL_002_3150_17";"3150";"IV2017120808142110";"AN_SEL_002_3150_17";"AN_SEL_002";"Vincent Smeekens & Kevin Scheers";"2017-06-29";"AN_SEL_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"991";"Opp <= 1 ha";936,498775
"90";"AN_SNE_003_3130a_16";"3130_aom";"IV2017042510593494";"AN_SNE_003_3130a_16";"AN_SNE_003";"Vincent Smeekens & Kevin Scheers";"2016-09-28";"AN_SNE_003";"hoog";"Normaal";"Atlantisch";"binnen";"55439";"Opp <= 1 ha";7285,933887
"91";"AN_SNE_003_3160_16";"3160";"IV2017042510565778";"AN_SNE_003_3160_16";"AN_SNE_003";"Vincent Smeekens & Kevin Scheers";"2016-09-28";"AN_SNE_003";"hoog";"Normaal";"Atlantisch";"binnen";"55439";"Opp <= 1 ha";7285,933887
"92";"AN_SNE_004_3130a_16";"3130_aom";"IV2017030812063258";"AN_SNE_004_3130a_16";"AN_SNE_004";"Vincent Smeekens";"2016-10-18";"AN_SNE_004";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"55457";"Opp <= 1 ha";497,445564
"93";"AN_SNE_004_3160_16";"3160";"IV2017030812170830";"AN_SNE_004_3160_16";"AN_SNE_004";"Vincent Smeekens";"2016-10-18";"AN_SNE_004";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"55457";"Opp <= 1 ha";497,445564
"94";"AN_SNE_006_3130a_18";"3130_aom";"IV2018101613254663";"AN_SNE_006_3130a_18";"AN_SNE_006";"Vincent Smeekens & Kevin Scheers";"2018-09-14";"AN_SNE_006";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_5953";"1 ha < Opp <= 5 ha";44217,188934
"95";"AN_SNE_008_3130a_18";"3130_aom";"IV2018101613064311";"AN_SNE_008_3130a_18";"AN_SNE_008";"Vincent Smeekens";"2018-09-17";"AN_SNE_008";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_17523";"5 ha < Opp < 50 ha";76267,550941
"96";"AN_SPB_002_3130a_18";"3130_aom";"IV2018101722034851";"AN_SPB_002_3130a_18";"AN_SPB_002";"Jo Packet";"2018-09-24";"AN_SPB_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";554,795002
"97";"AN_STB_001_3150_17";"3150";"IV2018082012290419";"AN_STB_001_3150_17";"AN_STB_001";"Jo Packet";"2017-08-21";"AN_STB_001";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";107,689245
"98";"AN_TIE_002_3130a_17";"3130_aom";"IV2018022808561819";"AN_TIE_002_3130a_17";"AN_TIE_002";"Vincent Smeekens";"2017-10-05";"AN_TIE_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"51894";"5 ha < Opp < 50 ha";81135,950512
"99";"AN_TIE_002_3160_17";"3160";"IV2018022809110643";"AN_TIE_002_3160_17";"AN_TIE_002";"Vincent Smeekens";"2017-10-05";"AN_TIE_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"51894";"5 ha < Opp < 50 ha";81135,950512
"100";"AN_TIK_002_3130a_16";"3130_aom";"IV2017040310093041";"AN_TIK_002_3130a_16";"AN_TIK_002";"Vincent Smeekens";"2016-09-12";"AN_TIK_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_14158";"Opp <= 1 ha";1878,47036
"101";"AN_TUR_001_3130a_16";"3130_aom";"IV2017032010113891";"AN_TUR_001_3130a_16";"AN_TUR_001";"Vincent Smeekens";"2016-10-20";"AN_TUR_001";"hoog";"Normaal";"Atlantisch";"binnen";"19136";"Opp <= 1 ha";1456,533268
"102";"AN_TVG_002_3110_18";"3110";"IV2018082708404936";"AN_TVG_002_3110_18";"AN_TVG_002";"Vincent Smeekens en Kevin Scheers";"2018-07-13";"AN_TVG_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20518";"5 ha < Opp < 50 ha";84929,308151
"103";"AN_TVG_002_3130a_18";"3130_aom";"IV2018082708514386";"AN_TVG_002_3130a_18";"AN_TVG_002";"Kevin Scheers en Vincent Smeekens";"2018-07-13";"AN_TVG_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20518";"5 ha < Opp < 50 ha";84929,308151
"104";"AN_TVG_002_3130n_18";"3130_na";"IV2018082708265940";"AN_TVG_002_3130n_18";"AN_TVG_002";"Vincent Smeekens en Kevin Scheers";"2018-07-13";"AN_TVG_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"20518";"5 ha < Opp < 50 ha";84929,308151
"105";"AN_TVG_003_3130a_16";"3130_aom";"IV2017042509124286";"AN_TVG_003_3130a_16";"AN_TVG_003";"Vincent Smeekens";"2016-08-25";"AN_TVG_003";"hoog";"Normaal";"Atlantisch";"binnen";"52490";"5 ha < Opp < 50 ha";54973,859318
"106";"AN_TVG_003_3130n_16";"3130_na";"IV2017042509274762";"AN_TVG_003_3130n_16";"AN_TVG_003";"Vincent Smeekens";"2016-08-25";"AN_TVG_003";"hoog";"Normaal";"Atlantisch";"binnen";"52490";"5 ha < Opp < 50 ha";54973,859318
"107";"AN_TVG_004_3130a_16";"3130_aom";"IV2017032011501490";"AN_TVG_004_3130a_16";"AN_TVG_004";"Vincent Smeekens";"2016-10-20";"AN_TVG_004";"hoog";"Normaal";"Atlantisch";"binnen";"19005";"Opp <= 1 ha";1721,956276
"108";"AN_TVG_005_3110_18";"3110";"IV2018082413550581";"AN_TVG_005_3110_18";"AN_TVG_005";"Kevin Scheers en Vincent Smeekens";"2018-07-10";"AN_TVG_005";"hoog";"Normaal";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";36234,007214
"109";"AN_TVG_005_3130a_18";"3130_aom";"IV2018082414191907";"AN_TVG_005_3130a_18";"AN_TVG_005";"Kevin Scheers en Vincent Smeekens";"2018-07-10";"AN_TVG_005";"hoog";"Normaal";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";36234,007214
"110";"AN_TVG_005_3130n_18";"3130_na";"IV2018082414303701";"AN_TVG_005_3130n_18";"AN_TVG_005";"Kevin Scheers en Vincent Smeekens";"2018-07-10";"AN_TVG_005";"hoog";"Normaal";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";36234,007214
"111";"AN_VOL_001_3130a_16";"3130_aom";"IV2017040310252958";"AN_VOL_001_3130a_16";"AN_VOL_001";"Vincent Smeekens";"2016-09-27";"AN_VOL_001";"hoog";"Normaal";"Atlantisch";"binnen";NA;"Opp <= 1 ha";6135,532871
"112";"AN_VOL_002_3130a_18";"3130_aom";"IV2018082908183624";"AN_VOL_002_3130a_18";"AN_VOL_002";"Vincent Smeekens";"2018-07-18";"AN_VOL_002";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"Opp <= 1 ha";3958,81284
"113";"AN_VOL_002_3130n_18";"3130_na";"IV2018082908092463";"AN_VOL_002_3130n_18";"AN_VOL_002";"Vincent Smeekens";"2018-07-18";"AN_VOL_002";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"Opp <= 1 ha";3958,81284
"114";"AN_VVM_001_3130n_16";"3130_na";"IV2018082108515790";"AN_VVM_001_3130n_16";"AN_VVM_001";"Vincent Smeekens";"2016-09-20";"AN_VVM_001";"hoog";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"Opp <= 1 ha";3299,12944
"115";"AN_VVM_002_3160_16";"3160";"IV2017032011215641";"AN_VVM_002_3160_16";"AN_VVM_002";"Vincent Smeekens";"2016-10-21";"AN_VVM_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";NA;"Opp <= 1 ha";7147,407295
"116";"AN_VVM_003_3130a_18";"3130_aom";"IV2018082308241033";"AN_VVM_003_3130a_18";"AN_VVM_003";"Vincent Smeekens";"2018-06-21";"AN_VVM_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"buiten";"BWK_86";"Opp <= 1 ha";423,448551
"117";"AN_VVM_004_3130a_18";"3130_aom";"IV2018091008443422";"AN_VVM_004_3130a_18";"AN_VVM_004";"Vincent Smeekens en Jo Packet";"2018-08-17";"AN_VVM_004";"hoog";"Droogstaand (groot deel)";"Atlantisch";"buiten";"BL_11949";"Opp <= 1 ha";9018,33725
"118";"AN_VVM_004_3160_18";"3160";"IV2018091009073533";"AN_VVM_004_3160_18";"AN_VVM_004";"Vincent Smeekens en Jo Packet";"2018-08-17";"AN_VVM_004";"hoog";"Droogstaand (groot deel)";"Atlantisch";"buiten";"BL_11949";"Opp <= 1 ha";9018,33725
"119";"AN_ZAM_002_3150_17";"3150";"IV2017121415181838";"AN_ZAM_002_3150_17";"AN_ZAM_002";"Kevin Scheers";"2017-08-02";"AN_ZAM_002";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_5915";"Opp <= 1 ha";771,373142
"120";"AN_ZAM_003_3150_17";"3150";"IV2018020909033210";"AN_ZAM_003_3150_17";"AN_ZAM_003";"Kevin Scheers";"2017-08-02";"AN_ZAM_003";"hoog";"Uitzonderlijk laag";"Atlantisch";"binnen";"BL_5876";"Opp <= 1 ha";1522,384792
"121";"AN_ZEG_002_3130n_17";"3130_na";"IV2018090609025511";"AN_ZEG_002_3130n_17";"AN_ZEG_002";"Kevin Scheers en Vincent Smeekens";"2017-08-31";"AN_ZEG_002";"hoog";"Normaal";"Atlantisch";"binnen";"BL_6004";"1 ha < Opp <= 5 ha";43779,012199
