"Meetnet";"Periode";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Phab";"Versie";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"MHK";2;"MHK2742";"2742";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";1;27,7333333333333;1;3;10;3;30;0
"MHK";2;"MHK2742";"2742";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";1;27,7333333333333;1;5;10;3;50;0
"MHK";2;"MHK284729";"284729";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;13,4866666666667;1;3;9;2;33,3333333333333;0
"MHK";2;"MHK284729";"284729";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;13,4866666666667;1;4;10;3;40;0
"MHK";2;"MHK3970";"3970";"9160";"9160";NA;"Versie 2.0";"Binnen";"Continental";0,993293859339881;73,8259259259259;0,993293859339881;7;10;1;70;0
"MHK";2;"MHK3970";"3970";"9160";"9160";NA;"Versie 3";"Binnen";"Continental";0,993293859339881;73,8259259259259;0,993293859339881;8;10;1;80;0
"MHK";2;"MHK45526";"45526";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";1;27,7333333333333;1;5;10;1;50;0
"MHK";2;"MHK45526";"45526";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";1;27,7333333333333;1;4;10;2;40;0
"MHK";2;"MHK4945";"4945";"9130";"9130";NA;"Versie 2.0";"Binnen";"Atlantic";1;1,18965517241379;1;7;10;0;70;1
"MHK";2;"MHK4945";"4945";"9130";"9130";NA;"Versie 3";"Binnen";"Atlantic";1;1,18965517241379;1;6;10;0;60;1
"MHK";2;"MHK53561";"53561";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";0,0424776683608906;13,4866666666667;0,0424776683608906;6;9;0;66,6666666666667;1
"MHK";2;"MHK53561";"53561";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";0,0424776683608906;13,4866666666667;0,0424776683608906;6;10;2;60;0
"MHK";2;"MHK6278";"6278";"9160";"9160";NA;"Versie 2.0";"Binnen";"Atlantic";1;73,8259259259259;1;5;10;2;50;0
"MHK";2;"MHK6278";"6278";"9160";"9160";NA;"Versie 3";"Binnen";"Atlantic";1;73,8259259259259;1;5;10;3;50;0
"MHK";2;"MHK7145";"7145";"9160";"9160";NA;"Versie 2.0";"Buiten";"Atlantic";1;76,021052631579;1,02973381881936;6;10;2;60;0
"MHK";2;"MHK7145";"7145";"9160";"9160";NA;"Versie 3";"Buiten";"Atlantic";1;76,021052631579;1,02973381881936;6;10;3;60;0
"MHK";2;"MHK7785";"7785";"9190";"9190";NA;"Versie 2.0";"Binnen";"Atlantic";1;57,19;1;8;11;1;72,7272727272727;0
"MHK";2;"MHK7785";"7785";"9190";"9190";NA;"Versie 3";"Binnen";"Atlantic";1;57,19;1;6;10;2;60;0
"MHK";2;"MHK8121";"8121";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";1;13,4866666666667;1;8;9;0;88,8888888888889;1
"MHK";2;"MHK8121";"8121";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";1;13,4866666666667;1;7;10;2;70;0
"MHK";2;"MHK8217";"8217";"9130";"9130";NA;"Versie 2.0";"Binnen";"Atlantic";1;1,18965517241379;1;4;10;1;40;0
"MHK";2;"MHK8217";"8217";"9130";"9130";NA;"Versie 3";"Binnen";"Atlantic";1;1,18965517241379;1;5;10;1;50;0
"MHK";2;"MHK85529";"85529";"91E0";"91E0_vo";NA;"Versie 2.0";"Binnen";"Atlantic";0,675484034057534;27,7333333333333;0,675484034057534;4;10;2;40;0
"MHK";2;"MHK85529";"85529";"91E0";"91E0_vo";NA;"Versie 3";"Binnen";"Atlantic";0,675484034057534;27,7333333333333;0,675484034057534;5;10;2;50;0
"MHK";2;"MHK85890";"85890";"91E0";"91E0_vc";NA;"Versie 2.0";"Buiten";"Continental";0,72451063359528;18,47;0,992217849913852;5;9;2;55,5555555555556;0
"MHK";2;"MHK85890";"85890";"91E0";"91E0_vc";NA;"Versie 3";"Buiten";"Continental";0,72451063359528;18,47;0,992217849913852;5;10;3;50;0
"MHK";2;"MHK88274";"88274";"9190";"9190";NA;"Versie 2.0";"Binnen";"Atlantic";0,668681633897236;57,19;0,668681633897236;5;11;2;45,4545454545455;0
"MHK";2;"MHK88274";"88274";"9190";"9190";NA;"Versie 3";"Binnen";"Atlantic";0,668681633897236;57,19;0,668681633897236;5;10;2;50;0
"MHK";2;"MHK9262";"9262";"9120";"9120";NA;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;7;11;1;63,6363636363636;0
"MHK";2;"MHK9262";"9262";"9120";"9120";NA;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;7;10;1;70;0
"MHK";2;"MHK96217";"96217";"91E0";"91E0_vc";NA;"Versie 2.0";"Binnen";"Atlantic";0,0500316335302337;13,4866666666667;0,0500316335302337;7;9;0;77,7777777777778;1
"MHK";2;"MHK96217";"96217";"91E0";"91E0_vc";NA;"Versie 3";"Binnen";"Atlantic";0,0500316335302337;13,4866666666667;0,0500316335302337;8;10;1;80;0
"VBI";2;"VBI131044_2";"131044";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,68;66,6438016528926;0,738879759292171;5;11;2;45,4545454545455;0
"VBI";2;"VBI131044_2";"131044";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,68;66,6438016528926;0,738879759292171;4;10;3;40;0
"VBI";2;"VBI132097_2";"132097";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;8;11;1;72,7272727272727;0
"VBI";2;"VBI132097_2";"132097";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;7;10;2;70;0
"VBI";2;"VBI133153_2";"133153";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;52,8133333333333;1;4;10;1;40;0
"VBI";2;"VBI133153_2";"133153";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;52,8133333333333;1;6;10;1;60;0
"VBI";2;"VBI135081_2";"135081";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,38;66,6438016528926;0,412903394898566;5;11;1;45,4545454545455;0
"VBI";2;"VBI135081_2";"135081";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,38;66,6438016528926;0,412903394898566;5;10;1;50;0
"VBI";2;"VBI135082_2";"135082";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,25;66,6438016528926;0,271646970328004;6;11;1;54,5454545454545;0
"VBI";2;"VBI135082_2";"135082";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,25;66,6438016528926;0,271646970328004;4;10;2;40;0
"VBI";2;"VBI135083_2";"135083";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,83;66,6438016528926;0,901867941488974;7;11;1;63,6363636363636;0
"VBI";2;"VBI135083_2";"135083";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,83;66,6438016528926;0,901867941488974;7;10;1;70;0
"VBI";2;"VBI135098_2";"135098";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;7;11;1;63,6363636363636;0
"VBI";2;"VBI135098_2";"135098";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;6;10;2;60;0
"VBI";2;"VBI135099_2";"135099";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,87;66,6438016528926;0,945331456741454;5;11;2;45,4545454545455;0
"VBI";2;"VBI135099_2";"135099";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,87;66,6438016528926;0,945331456741454;4;10;3;40;0
"VBI";2;"VBI135132_2";"135132";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;5;11;2;45,4545454545455;0
"VBI";2;"VBI135132_2";"135132";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;4;10;2;40;0
"VBI";2;"VBI136040_2";"136040";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;7;11;1;63,6363636363636;0
"VBI";2;"VBI136040_2";"136040";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;7;10;1;70;0
"VBI";2;"VBI136102_2";"136102";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,82;66,6438016528926;0,891002062675853;6;11;2;54,5454545454545;0
"VBI";2;"VBI136102_2";"136102";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,82;66,6438016528926;0,891002062675853;6;10;2;60;0
"VBI";2;"VBI136113_2";"136113";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;8;11;0;72,7272727272727;1
"VBI";2;"VBI136113_2";"136113";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;8;10;0;80;1
"VBI";2;"VBI136114_2";"136114";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,88;61,3330985915493;0,88;8;11;0;72,7272727272727;1
"VBI";2;"VBI136114_2";"136114";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,88;61,3330985915493;0,88;8;10;0;80;1
"VBI";2;"VBI136121_2";"136121";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,8;61,3330985915493;0,8;7;11;1;63,6363636363636;0
"VBI";2;"VBI136121_2";"136121";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,8;61,3330985915493;0,8;7;10;1;70;0
"VBI";2;"VBI137010_2";"137010";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;52,8133333333333;1;7;10;2;70;0
"VBI";2;"VBI137010_2";"137010";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;52,8133333333333;1;7;10;2;70;0
"VBI";2;"VBI137011_2";"137011";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;6;11;2;54,5454545454545;0
"VBI";2;"VBI137011_2";"137011";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;6;10;2;60;0
"VBI";2;"VBI137028_2";"137028";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;9;11;1;81,8181818181818;0
"VBI";2;"VBI137028_2";"137028";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;8;10;1;80;0
"VBI";2;"VBI137035_2";"137035";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;4;11;2;36,3636363636364;0
"VBI";2;"VBI137035_2";"137035";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;4;10;2;40;0
"VBI";2;"VBI137037_2";"137037";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;7;11;1;63,6363636363636;0
"VBI";2;"VBI137037_2";"137037";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;8;10;1;80;0
"VBI";2;"VBI137052_2";"137052";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;9;11;0;81,8181818181818;1
"VBI";2;"VBI137052_2";"137052";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;9;10;0;90;1
"VBI";2;"VBI137053_2";"137053";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;9;11;0;81,8181818181818;1
"VBI";2;"VBI137053_2";"137053";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;8;10;0;80;1
"VBI";2;"VBI137054_2";"137054";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;8;11;0;72,7272727272727;1
"VBI";2;"VBI137054_2";"137054";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;7;10;0;70;1
"VBI";2;"VBI137060_2";"137060";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;7;11;0;63,6363636363636;1
"VBI";2;"VBI137060_2";"137060";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;8;10;0;80;1
"VBI";2;"VBI138019_2";"138019";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;5;11;2;45,4545454545455;0
"VBI";2;"VBI138019_2";"138019";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;5;10;2;50;0
"VBI";2;"VBI138020_2";"138020";"9120";"9120";95;"Versie 2.0";"Binnen";"Atlantic";0,79;61,3330985915493;0,79;12;22;2;54,5454545454545;0
"VBI";2;"VBI138020_2";"138020";"9120";"9120";95;"Versie 3";"Binnen";"Atlantic";0,79;61,3330985915493;0,79;10;20;2;50;0
"VBI";2;"VBI138027_2";"138027";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;5;11;2;45,4545454545455;0
"VBI";2;"VBI138027_2";"138027";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;6;10;2;60;0
"VBI";2;"VBI138028_2";"138028";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,18;61,3330985915493;0,18;8;11;0;72,7272727272727;1
"VBI";2;"VBI138028_2";"138028";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,18;61,3330985915493;0,18;8;10;0;80;1
"VBI";2;"VBI138036_2";"138036";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;8;11;0;72,7272727272727;1
"VBI";2;"VBI138036_2";"138036";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;7;10;1;70;0
"VBI";2;"VBI138097_2";"138097";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,82;66,6438016528926;0,891002062675853;5;11;1;45,4545454545455;0
"VBI";2;"VBI138097_2";"138097";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,82;66,6438016528926;0,891002062675853;5;10;1;50;0
"VBI";2;"VBI138098_2";"138098";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;6;11;2;54,5454545454545;0
"VBI";2;"VBI138098_2";"138098";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";1;66,6438016528926;1,08658788131202;6;10;2;60;0
"VBI";2;"VBI142137_2";"142137";"9120";"9120";100;"Versie 2.0";"Buiten";"Atlantic";0,78;66,6438016528926;0,847538547423373;4;11;2;36,3636363636364;0
"VBI";2;"VBI142137_2";"142137";"9120";"9120";100;"Versie 3";"Buiten";"Atlantic";0,78;66,6438016528926;0,847538547423373;4;10;2;40;0
"VBI";2;"VBI144048_2";"144048";"9120";"9120";70;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;7;11;1;63,6363636363636;0
"VBI";2;"VBI144048_2";"144048";"9120";"9120";70;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;7;10;1;70;0
"VBI";2;"VBI144055_2";"144055";"9120";"9120";60;"Versie 2.0";"Binnen";"Atlantic";0,87;61,3330985915493;0,87;9;11;0;81,8181818181818;1
"VBI";2;"VBI144055_2";"144055";"9120";"9120";60;"Versie 3";"Binnen";"Atlantic";0,87;61,3330985915493;0,87;9;10;0;90;1
"VBI";2;"VBI144056_2";"144056";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";0,86;61,3330985915493;0,86;4;11;1;36,3636363636364;0
"VBI";2;"VBI144056_2";"144056";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";0,86;61,3330985915493;0,86;4;10;1;40;0
"VBI";2;"VBI147004_2";"147004";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;8;11;1;72,7272727272727;0
"VBI";2;"VBI147004_2";"147004";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;9;10;1;90;0
"VBI";2;"VBI147049_2";"147049";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";0,8;52,8133333333333;0,8;8;10;0;80;1
"VBI";2;"VBI147049_2";"147049";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";0,8;52,8133333333333;0,8;9;10;0;90;1
"VBI";2;"VBI147059_2";"147059";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;8;11;1;72,7272727272727;0
"VBI";2;"VBI147059_2";"147059";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;8;10;1;80;0
"VBI";2;"VBI147067_2";"147067";"9120";"9120";100;"Versie 2.0";"Binnen";"Atlantic";1;61,3330985915493;1;6;11;1;54,5454545454545;0
"VBI";2;"VBI147067_2";"147067";"9120";"9120";100;"Versie 3";"Binnen";"Atlantic";1;61,3330985915493;1;5;10;2;50;0
"VBI";2;"VBI147068_2";"147068";"91E0";"91E0_va";100;"Versie 2.0";"Binnen";"Atlantic";1;52,8133333333333;1;8;10;0;80;1
"VBI";2;"VBI147068_2";"147068";"91E0";"91E0_va";100;"Versie 3";"Binnen";"Atlantic";1;52,8133333333333;1;9;10;0;90;1
"VBI";2;"VBI147141_2";"147141";"91E0";"91E0_vn";100;"Versie 2.0";"Buiten";"Atlantic";0,87;59,7625;0,87;2;10;3;20;0
"VBI";2;"VBI147141_2";"147141";"91E0";"91E0_vn";100;"Versie 3";"Buiten";"Atlantic";0,87;59,7625;0,87;3;10;2;30;0
"VBI";2;"VBI148018_2";"148018";"91E0";"91E0_vm";100;"Versie 2.0";"Binnen";"Atlantic";1;68,8035714285714;1;5;10;2;50;0
"VBI";2;"VBI148018_2";"148018";"91E0";"91E0_vm";100;"Versie 3";"Binnen";"Atlantic";1;68,8035714285714;1;6;10;2;60;0
"VBI";2;"VBI148025_2";"148025";"91E0";"91E0_vn";70;"Versie 2.0";"Binnen";"Atlantic";0,91;124,157142857143;1,8905333612215;6;10;1;60;0
"VBI";2;"VBI148025_2";"148025";"91E0";"91E0_vn";70;"Versie 3";"Binnen";"Atlantic";0,91;124,157142857143;1,8905333612215;5;10;2;50;0
