"Meetnet";"Periode";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Phab";"Versie";"Criterium";"Indicator";"Belang";"Status_indicator";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"aandeel dood hout";"b";TRUE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"bosconstantie";"zb";TRUE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"hoeveelheid dik dood hout";"zb";FALSE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"horizontale structuur - groeiklassen";"b";TRUE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"horizontale structuur - natuurlijke mozaiekstructuur";"b";NA;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"minimum structuurareaal";"zb";FALSE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Structuur";"verticale structuur";"b";TRUE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";FALSE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
"MHK";2;"MHK10354";10354;"9160";"9160";NA;"Versie 3";"Verstoring";"invasieve exoten van de boom- en struiklaag";"b";TRUE;"Buiten";"Atlantic";1;76,021052631579;1,02973381881936
