"IDPlots";"Habitattype";"X_coord";"Y_coord";"SBZH";"Regio";"HabCode";"ID";"Date";"Jaar";"PlotWeight";"StratumWeight";"WeightComb"
"ZSCPQ074";"91E0_sf";136674,45;197613,575;"Binnen";"Atlantic";"91E0_sf";"IV2013112613395719";"2013-09-23";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ074";"91E0_sf";136674,45;197613,575;"Binnen";"Atlantic";"91E0_sf";"IV2014092910023849";"1995-08-10";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ119";"91E0_sf";142923,21;200674,065;"Binnen";"Atlantic";"91E0_sf";"IV2013112615563116";"2013-09-25";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ119";"91E0_sf";142923,21;200674,065;"Binnen";"Atlantic";"91E0_sf";"IV2014092314083739";"1995-08-28";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ120";"91E0_sf";138259,525;194388,82;"Binnen";"Atlantic";"91E0_sf";"IV2013112615285945";"2013-09-24";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ120";"91E0_sf";138259,525;194388,82;"Binnen";"Atlantic";"91E0_sf";"IV2014093015031050";"1995-08-28";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ122";"91E0_sf";143531,595;201073,75;"Binnen";"Atlantic";"91E0_sf";"IV2013112710155983";"2013-09-26";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ122";"91E0_sf";143531,595;201073,75;"Binnen";"Atlantic";"91E0_sf";"IV2014092316054851";"1995-09-01";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ123";"91E0_sf";143335,165;200908,025;"Binnen";"Atlantic";"91E0_sf";"IV2013112710235801";"2013-09-26";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ123";"91E0_sf";143335,165;200908,025;"Binnen";"Atlantic";"91E0_sf";"IV2014093015235050";"1995-09-01";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ124";"91E0_sf";142765,535;200584,585;"Binnen";"Atlantic";"91E0_sf";"IV2013112616044360";"2013-09-25";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ124";"91E0_sf";142765,535;200584,585;"Binnen";"Atlantic";"91E0_sf";"IV2014093015403871";"1995-09-01";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ125";"91E0_sf";142319,415;200429,92;"Binnen";"Atlantic";"91E0_sf";"IV2013112616175459";"2013-09-25";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ125";"91E0_sf";142319,415;200429,92;"Binnen";"Atlantic";"91E0_sf";"IV2014093016085893";"1995-09-01";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ126";"91E0_sf";143208,075;200877,62;"Binnen";"Atlantic";"91E0_sf";"IV2013112616275443";"2013-09-25";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ126";"91E0_sf";143208,075;200877,62;"Binnen";"Atlantic";"91E0_sf";"IV2014093016274790";"1995-09-06";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ127";"91E0_sf";139404,5;200958,5;"Binnen";"Atlantic";"91E0_sf";"IV2013112612190184";"2013-09-20";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ127";"91E0_sf";139404,5;200958,5;"Binnen";"Atlantic";"91E0_sf";"IV2014093016433867";"1995-09-06";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ128";"91E0_sf";137810,645;196734,65;"Binnen";"Atlantic";"91E0_sf";"IV2013112613475490";"2013-09-23";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ128";"91E0_sf";137810,645;196734,65;"Binnen";"Atlantic";"91E0_sf";"IV2014100209045929";"1995-09-08";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ130";"91E0_sf";137369,865;197306,2;"Binnen";"Atlantic";"91E0_sf";"IV2013112614015766";"2013-09-23";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ130";"91E0_sf";137369,865;197306,2;"Binnen";"Atlantic";"91E0_sf";"IV2014100209440695";"1995-09-12";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ131";"91E0_sf";136447,47;198072,755;"Binnen";"Atlantic";"91E0_sf";"IV2013112612101728";"2013-09-20";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ131";"91E0_sf";136447,47;198072,755;"Binnen";"Atlantic";"91E0_sf";"IV2014100210040529";"1995-09-12";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ134";"91E0_sf";137877,18;194541,135;"Binnen";"Atlantic";"91E0_sf";"IV2013112615371071";"2013-09-24";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ134";"91E0_sf";137877,18;194541,135;"Binnen";"Atlantic";"91E0_sf";"IV2014100211230864";"1995-09-12";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ135";"91E0_sf";137955,52;194059,755;"Binnen";"Atlantic";"91E0_sf";"IV2013112610383561";"2013-09-18";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ135";"91E0_sf";137955,52;194059,755;"Binnen";"Atlantic";"91E0_sf";"IV2014100211365571";"1995-09-14";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ137";"91E0_sf";137911,5;193910;"Binnen";"Atlantic";"91E0_sf";"IV2013112610432260";"2013-09-18";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ137";"91E0_sf";137911,5;193910;"Binnen";"Atlantic";"91E0_sf";"IV2014100212054626";"1995-09-14";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ138";"91E0_sf";137813,485;193966,465;"Binnen";"Atlantic";"91E0_sf";"IV2013112610573981";"2013-09-18";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ138";"91E0_sf";137813,485;193966,465;"Binnen";"Atlantic";"91E0_sf";"IV2014100608450655";"1995-09-14";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ140";"91E0_sf";127154,905;191815,43;"Buiten";"Atlantic";"91E0_sf";"IV2013112510491349";"2013-09-12";2013;1;45,1;45,1
"ZSCPQ140";"91E0_sf";127154,905;191815,43;"Buiten";"Atlantic";"91E0_sf";"IV2014100609195535";"1995-09-21";1995;1;45,1;45,1
"ZSCPQ142";"91E0_sf";129424,185;193482,355;"Binnen";"Atlantic";"91E0_sf";"IV2013112016153156";"2013-09-10";2013;1;10,2448275862069;10,2448275862069
"ZSCPQ142";"91E0_sf";129424,185;193482,355;"Binnen";"Atlantic";"91E0_sf";"IV2014100609552068";"1995-09-22";1995;1;10,2448275862069;10,2448275862069
"ZSCPQ145";"91E0_sf";129001,705;193476,65;"Binnen";"Atlantic";"91E0_sf";"IV2013112016223231";"2013-09-10";2013;1;10,2448275862069;10,2448275862069
