"ID";"SBZH";"Habitattype";"Weight";"Regio";"TypePlot";"Jaar";"StratumWeight";"X";"Y";"Date"
"100050";"Binnen";"4010";0,759792926627744;"Atlantic";"vegetatieopname";2014;55,241935483871;224989,647;188910,054;2014-09-01
"1003230";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;17,5142857142857;155389,62;230350,078;2016-09-15
"102098";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,5557692307692;224477,59;192718,125;2014-09-11
"1043410";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;17,5142857142857;229821,595;195374,083;2017-07-28
"105682";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,5557692307692;225437,587;194286,099;2014-09-08
"106614";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;55,241935483871;205629,517;211502,033;2016-11-17
"10706";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,5557692307692;227869,592;193454,114;2015-06-01
"1076854";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;17,5142857142857;211965,947;208174,512;2016-10-04
"1085366";"Binnen";"2330_bu";0,683402483695316;"Atlantic";"vegetatieopname";2017;17,5142857142857;217213,629;197710,367;2017-07-20
"1092434";"Binnen";"2330_bu";1;"Atlantic";"vegetatieopname";2017;17,5142857142857;237245,591973;195662,113583;2017-07-10
"1110750";"Binnen";"2330_bu";0,999970507446378;"Atlantic";"vegetatieopname";2016;17,5142857142857;153949,579;232078,181;2016-10-03
"111326";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;55,241935483871;155069,521;231854,005;2014-08-19
"11218";"Binnen";"4010";0,999970507446378;"Atlantic";"vegetatieopname";2014;55,241935483871;230077,565;194510,102;2014-09-10
"115422";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,5557692307692;153533,629;234190,134;2015-06-23
"117202";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,5557692307692;229949,576;193582,05;2014-09-10
"11742";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;55,241935483871;164701,546;228078,08;2016-10-27
"120018";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;55,241935483871;220061,612;198030,039;2014-09-15
"120110";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2014;55,241935483871;188861,589;227758,156;2014-09-24
"122578";"Binnen";"4010";0,7284374379628;"Atlantic";"vegetatieopname";2014;55,241935483871;223677,579;190446,099;2014-08-29
"12274";"Binnen";"4030";1;"Atlantic";"vegetatieopname";2014;108,011428571429;240317,629;185614,125;2014-08-22
"124278";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2014;41,5557692307692;214109,647;216238,18;2014-09-23
"124382";"Binnen";"4010";1;"Atlantic";"vegetatieopname";2016;55,241935483871;165405,568;227822,167;2016-10-12
"125394";"Binnen";"2310";1;"Atlantic";"vegetatieopname";2015;41,5557692307692;226973,628;193230,042;2015-06-01
