"";"ID";"Habitattype";"RecordingGivid";"UserReference";"LocationCode";"Observer";"VagueDateBegin";"Kolom1";"Betrouwbaarheid";"Waterpeil";"Regio";"SBZH";"ID_Plas";"OppKl";"Oppervlakte_plas";"Versie";"Habitattype.y";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"EenheidRefwaarde";"TypeRefwaarde";"InvoertypeRevwaarde";"TypeWaarde";"InvoertypeWaarde";"EenheidWaarde";"Waarde";"AfkomstWaarde";"TheoretischMaximum";"Status_voorwaarde";"Verschilscore"
"1";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";235;"2399 OR 2385";2399;"voor ondiepe plassen: Secchi-diepte in m";"1.5";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"4";"observatie";NA;TRUE;NA
"2";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";235;"2399 OR 2385";2385;"voor diepe plassen : Secchi-diepte in m";"3.2";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"0";"observatie";NA;FALSE;NA
"3";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Structuur";"horizontale structuur";"B: vegetatievlek 1 - 10 m<U+00B2>";1;"zb";239;"2094";2094;"grootste vegetatievlek in m²";"1";">=";"m²";"Decimaal getal";NA;"Decimaal getal";NA;"m²";"15";"observatie";NA;TRUE;NA
"4";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Structuur";"oeverzone ZW-zijde";"B: < 2 maal de hoogte van de bomen";1;"b";238;"1856";1856;"bomen tot op de oever";"0";"=";NA;"Ja/nee";NA;"Ja/nee";NA;NA;"0";"observatie";NA;TRUE;NA
"5";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Vegetatie";"sleutelsoorten";"B: 1 of 2 sleutelsoorten (uitgezonderd Moerashertshooi en Vlottende bies) minstens frequent aanwezig";1;"b";247;"415";415;"aantal sleutelsoorten ex vl bies moerashertshooi";"1";">=";NA;"Geheel getal";NA;"Geheel getal";NA;NA;"1";"berekend";13;TRUE;0
"6";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Verstoring";"eutrofiëring";"B: 5 - <10 %";1;"zb";1306;"751";751;"bedekking eutrofiëring";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"1";"observatie";100;TRUE;0,9
"7";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Verstoring";"invasieve exoten";"B: < 10 %";1;"zb";243;"871";871;"bedekking invasieve exoten";"10";"<";"%";"Percentage";NA;"Percentage";NA;"%";"0";"observatie";100;TRUE;1
"8";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Verstoring";"vergrassing";"B: 10-30 %";1;"zb";242;"1492";1492;"bedekking vergrassing";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"0.5";"observatie";100;TRUE;0,983333333333333
"9";"AN_ABH_007_3130a_18";"3130_aom";"IV2018101613143763";"AN_ABH_007_3130a_18";"AN_ABH_007";"Vincent Smeekens";"2018-09-24";"AN_ABH_007";"matig";"Droogstaand (groot deel)";"Atlantisch";"binnen";NA;"1 ha < Opp <= 5 ha";39479,726685;"Versie 2.0";"3130";"Verstoring";"verzuring";"B: 10-30 %";1;"zb";246;"1843";1843;"bedekking verzuring";"30";"<=";"%";"Percentage";NA;"Percentage";NA;"%";"45";"observatie";100;FALSE;-0,214285714285714
"10";"AN_ARE_001_3130a_18";"3130_aom";"IV2018101005532264";"AN_ARE_001_3130a_18";"AN_ARE_001";"Vincent Smeekens & Kevin Scheers & An Leyssen";"2018-09-21";"AN_ARE_001";"hoog";"Normaal";"Atlantisch";"binnen";"5062";"5 ha < Opp < 50 ha";110470,597782;"Versie 2.0";"3130";"Structuur";"doorzicht";"B: voor ondiepe plassen (1): Secchi-diepte >= 1,5 m
voor diepe plassen (2): Secchi-diepte >= 3,2 m";1;"b";235;"2399 OR 2385";2399;"voor ondiepe plassen: Secchi-diepte in m";"1.5";">=";"m";"Decimaal getal";NA;"Decimaal getal";NA;NA;"0";"observatie";NA;FALSE;NA
