"ID";"IDPlots";"TypePlot";"Habitattype";"Habitatsubtype";"AnalyseVariabele";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator"
"IV2017012716564741";"2760937";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017013011141972";"857298";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017013011141972";"857298";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"5";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017013011141972";"857298";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017013011141972";"857298";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017013012265239";"627922";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017013012265239";"627922";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017013012265239";"627922";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017013012265239";"627922";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017013013143717";"87250";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017013013143717";"87250";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"2";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017013013143717";"87250";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017013013143717";"87250";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017013015085454";"1115122";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017013015085454";"1115122";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017013015085454";"1115122";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017013015085454";"1115122";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017013016040477";"619506";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"3";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017013016040477";"619506";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017013016040477";"619506";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020111393906";"340978";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017020111393906";"340978";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020111393906";"340978";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"3";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020111393906";"340978";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"3";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020120160542";"1711014";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017020120160542";"1711014";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"5";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020120160542";"1711014";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"3";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020120160542";"1711014";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"3";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020121221303";"3276198";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017020121221303";"3276198";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"5";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020121221303";"3276198";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020121221303";"3276198";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020211373000";"487606";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017020211373000";"487606";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"2";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020211373000";"487606";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020211373000";"487606";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020308555607";"2173889";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020308555607";"2173889";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020308555607";"2173889";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020309320429";"4008897";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020309320429";"4008897";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020309320429";"4008897";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020310250354";"10766985";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"30";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020310250354";"10766985";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020310250354";"10766985";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020318234508";"282614";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020318234508";"282614";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020318234508";"282614";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020318234508";"282614";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020318480754";"856054";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020318480754";"856054";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020318480754";"856054";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020318480754";"856054";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020319064156";"170798";"structuurplot";"7140";"7140_oli";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020319064156";"170798";"structuurplot";"7140";"7140_oli";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020319064156";"170798";"structuurplot";"7140";"7140_oli";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020319064156";"170798";"structuurplot";"7140";"7140_oli";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020714540212";"863862";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020714540212";"863862";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020714540212";"863862";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020714540212";"863862";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"10";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020813570832";"1013294";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020813570832";"1013294";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020813570832";"1013294";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020813570832";"1013294";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"25";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020814462786";"518902";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020814462786";"518902";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017020814462786";"518902";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017020814462786";"518902";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020815451966";"14029138";"structuurplot";"6120";"6120";"naakte_bodem";"bedekking naakte bodem";"1";"Percentage";NA;"%";"Structuur";"naakte bodem"
"IV2017020815451966";"14029138";"structuurplot";"6120";"6120";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020815451966";"14029138";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"4";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020815451966";"14029138";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"4";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020912043705";"20320594";"structuurplot";"6120";"6120";"naakte_bodem";"bedekking naakte bodem";"1";"Percentage";NA;"%";"Structuur";"naakte bodem"
"IV2017020912043705";"20320594";"structuurplot";"6120";"6120";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020912043705";"20320594";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020912043705";"20320594";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020914342201";"11366482";"structuurplot";"6120";"6120";"naakte_bodem";"bedekking naakte bodem";"5";"Percentage";NA;"%";"Structuur";"naakte bodem"
"IV2017020914342201";"11366482";"structuurplot";"6120";"6120";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020914342201";"11366482";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020914342201";"11366482";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017020916182461";"4501586";"structuurplot";"6120";"6120";"naakte_bodem";"bedekking naakte bodem";"20";"Percentage";NA;"%";"Structuur";"naakte bodem"
"IV2017020916182461";"4501586";"structuurplot";"6120";"6120";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017020916182461";"4501586";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017020916182461";"4501586";"structuurplot";"6120";"6120";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021009570606";"2468182";"structuurplot";"6410";"6410_ve";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021009570606";"2468182";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021009570606";"2468182";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021011372088";"4042038";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021011372088";"4042038";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021011372088";"4042038";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021012413096";"544902";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021012413096";"544902";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021012413096";"544902";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021017031808";"1618054";"structuurplot";"6410";"6410_ve";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021017031808";"1618054";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021017031808";"1618054";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021017402906";"6152326";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021017402906";"6152326";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021017402906";"6152326";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021018144986";"1286278";"structuurplot";"6410";"6410_ve";"strooisellaag";"bedekking strooisellaag";"40";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021018144986";"1286278";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021018144986";"1286278";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021311152342";"4975814";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021311152342";"4975814";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021311152342";"4975814";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021312171588";"4598982";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021312171588";"4598982";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021312171588";"4598982";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021313081237";"9087041";"structuurplot";"6410";"6410_ve";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021313081237";"9087041";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021313081237";"9087041";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021314165316";"2898758";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021314165316";"2898758";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021314165316";"2898758";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021315595672";"1022766";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021315595672";"1022766";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"2";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021315595672";"1022766";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021315595672";"1022766";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021411231990";"3016210";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021411231990";"3016210";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021411231990";"3016210";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021414091295";"498886";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021414091295";"498886";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021414091295";"498886";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021414350820";"654598";"structuurplot";"6230";"6230_ha";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021414350820";"654598";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021414350820";"654598";"structuurplot";"6230";"6230_ha";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021415171476";"753630";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021415171476";"753630";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021415171476";"753630";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021415171476";"753630";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021415590760";"979286";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021415590760";"979286";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021415590760";"979286";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021415590760";"979286";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"2";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021416154407";"1062930";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"1";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021416154407";"1062930";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021416154407";"1062930";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021416161173";"1346134";"structuurplot";"6410";"6410_ve";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021416161173";"1346134";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021416161173";"1346134";"structuurplot";"6410";"6410_ve";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021416585251";"1474526";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021416585251";"1474526";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021416585251";"1474526";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021416585251";"1474526";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021417294457";"1884126";"structuurplot";"6230";"6230_hmo";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021417294457";"1884126";"structuurplot";"6230";"6230_hmo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021417294457";"1884126";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021417294457";"1884126";"structuurplot";"6230";"6230_hmo";"verbossing";"bedekking verbossing";"1";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021511162976";"311262";"structuurplot";"6230";"6230_hn";"nLevensvormen";"aantal levensvormen aanwezig";"3";"Geheel getal";NA;NA;"Structuur";"horizontale structuur"
"IV2017021511162976";"311262";"structuurplot";"6230";"6230_hn";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021511162976";"311262";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"5";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021511162976";"311262";"structuurplot";"6230";"6230_hn";"verbossing";"bedekking verbossing";"5";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021512035316";"880094";"structuurplot";"7140";"7140_oli";"strooisellaag";"bedekking strooisellaag";"70";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021512035316";"880094";"structuurplot";"7140";"7140_oli";"strooisellaag";"bedekking strooisellaag";"70";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017021512035316";"880094";"structuurplot";"7140";"7140_oli";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017021512035316";"880094";"structuurplot";"7140";"7140_oli";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021513104974";"482290";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021513104974";"482290";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017021513104974";"482290";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017021513104974";"482290";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021513172295";"3777298";"structuurplot";"6410";"6410_mo";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021513172295";"3777298";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing"
"IV2017021513172295";"3777298";"structuurplot";"6410";"6410_mo";"verbossing";"bedekking verbossing";"0";"Percentage";NA;"%";"Verstoring";"verbossing/verstruweling"
"IV2017021513305863";"267986";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Verstoring";"strooisellaag"
"IV2017021513305863";"267986";"structuurplot";"7140";"7140_meso";"strooisellaag";"bedekking strooisellaag";"0";"Percentage";NA;"%";"Structuur";"strooisellaag"
"IV2017021513305863";"267986";"structuurplot";"7140";"7140_meso";"betreding_brand";"bedekking structuurschade";"0";"Percentage";NA;"%";"Verstoring";"structuurschade"
"IV2017021513305863";"267986";"structuurplot";"7140";"7140_meso";"verbossing";"bedekking verbossing";"40";"Percentage";NA;"%";"Verstoring";"verbossing"
