"ID";"IDPlots";"TypePlot";"Habitattype";"PlotWeight";"HabTarget1";"HabTarget2";"SBZH";"BiogeoRegio";"StratumWeight";"fps"
"IV2017012715235876";"4390190";"structuurplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017012716313882";"2760937";"structuurplot";"6410_ve";60;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017013011050597";"857298";"structuurplot";"6230_hn";70;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017013011553027";"627922";"structuurplot";"6230_hn";50;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017013013060304";"87250";"structuurplot";"6230_hn";30;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017013013460448";"1115122";"structuurplot";"6230_hn";70;"6230_hn";NA;"Buiten";"Atlantic";9,9;792
"IV2017013015545827";"619506";"structuurplot";"6230_ha";50;"6230_hn";NA;"Buiten";"Atlantic";25,5333333333333;766
"IV2017013110020007";"340978";"structuurplot";"6230_hn";100;"6230_hn";NA;"Buiten";"Atlantic";9,9;792
"IV2017020116071546";"1711014";"structuurplot";"6230_hn";70;"6230_ha";"6230_hmo";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017020121010797";"3276198";"structuurplot";"6230_hmo";50;"6230_hmo";"6230_hn";"Buiten";"Atlantic";5,86666666666667;176
"IV2017020211023566";"487606";"structuurplot";"6230_hmo";70;"6230_hmo";NA;"Buiten";"Atlantic";5,86666666666667;176
"IV2017020308164723";"2173889";"structuurplot";"6410_mo";100;"6410_ve";"7140_meso";"Binnen";"Atlantic";0,621739130434783;143
"IV2017020309175600";"4008897";"structuurplot";"6410_mo";100;"6410_ve";"7140_meso";"Binnen";"Atlantic";0,621739130434783;143
"IV2017020309560065";"10766985";"structuurplot";"6410_mo";95;"6410_ve";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017020318100730";"282614";"structuurplot";"7140_meso";68;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017020318315989";"856054";"structuurplot";"7140_meso";33;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017020318560367";"170798";"structuurplot";"7140_oli";16;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2017020713102084";"863862";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017020813265807";"1013294";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017020814143501";"518902";"structuurplot";"7140_meso";50;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017020815060283";"14029138";"structuurplot";"6120";87;"6120";NA;"Binnen";"Atlantic";0,95;38
"IV2017020911173410";"20320594";"structuurplot";"6120";32;"6120";NA;"Binnen";"Atlantic";0,95;38
"IV2017020914013322";"11366482";"structuurplot";"6120";30;"6120";NA;"Binnen";"Atlantic";0,95;38
"IV2017020915002276";"4501586";"structuurplot";"6120";30;"6120";NA;"Binnen";"Atlantic";0,95;38
"IV2017021009391220";"2468182";"structuurplot";"6410_ve";55;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017021011171644";"4042038";"structuurplot";"6410_mo";80;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021012213856";"544902";"structuurplot";"6230_ha";98;"6230_ha";NA;"Binnen";"Atlantic";9,30666666666667;1396
"IV2017021016462422";"1618054";"structuurplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017021017175886";"6152326";"structuurplot";"6410_mo";75;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021018002273";"1286278";"structuurplot";"6410_ve";50;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017021310384624";"4975814";"structuurplot";"6410_mo";60;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021311505729";"4598982";"structuurplot";"6410_mo";50;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021312415166";"9087041";"structuurplot";"6410_ve";90;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017021313300649";"2898758";"structuurplot";"6410_mo";64;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021314354987";"1022766";"structuurplot";"6230_hmo";30;"6230_hmo";"6410_mo";"Binnen";"Atlantic";5,635;1127
"IV2017021410455484";"3016210";"structuurplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017021413520341";"498886";"structuurplot";"6410_mo";80;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021414213854";"654598";"structuurplot";"6230_ha";50;"6230_ha";NA;"Buiten";"Atlantic";25,5333333333333;766
"IV2017021414444810";"753630";"structuurplot";"6230_hmo";90;"6230_ha";NA;"Binnen";"Atlantic";5,635;1127
"IV2017021415415208";"979286";"structuurplot";"6230_hmo";100;"6230_ha";"6230_hmo";"Binnen";"Atlantic";5,635;1127
"IV2017021415534916";"1062930";"structuurplot";"6410_mo";80;"6410_ve";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021416061568";"1346134";"structuurplot";"6410_ve";100;"6410_ve";NA;"Buiten";"Atlantic";4,2;42
"IV2017021416262329";"1474526";"structuurplot";"6230_hmo";10;"6230_hmo";"6230_hn";"Binnen";"Atlantic";5,635;1127
"IV2017021417070556";"1884126";"structuurplot";"6230_hmo";100;"6230_hmo";"6230_hn";"Binnen";"Atlantic";5,635;1127
"IV2017021510114273";"311262";"structuurplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017021511480087";"880094";"structuurplot";"7140_oli";83;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2017021512174228";"3777298";"structuurplot";"6410_mo";80;"6410_ve";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017021513022196";"482290";"structuurplot";"7140_meso";50;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021513174412";"267986";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021513460105";"1388150";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021514080638";"923346";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021514542213";"419538";"structuurplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2017021515123500";"943826";"structuurplot";"7140_oli";86;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2017021515354295";"271030";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021515592266";"103094";"structuurplot";"7140_meso";50;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021516164241";"959958";"structuurplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2017021710141595";"1087350";"structuurplot";"7140_meso";87;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021710412000";"3219382";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021712024375";"1749942";"structuurplot";"7140_meso";81;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021712211026";"702674";"structuurplot";"7140_oli";71;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2017021712570028";"3732406";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021716013587";"4026418";"structuurplot";"6410_mo";50;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017021716250537";"1635254";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017021716580390";"2225078";"structuurplot";"7140_meso";69;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017022011083153";"1583446";"structuurplot";"6410_mo";70;"6410_ve";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017022012400428";"5783154";"structuurplot";"6410_mo";30;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017022013575286";"414646";"structuurplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017022015155634";"905382";"structuurplot";"6410_mo";60;"6410_ve";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017022111173825";"1004470";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2017022112283578";"3008870";"structuurplot";"6410_mo";95;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017022115074420";"4057446";"structuurplot";"6410_mo";78;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017022211082902";"3741830";"structuurplot";"6410_mo";74;"6230_hmo";"6410_ve";"Binnen";"Atlantic";0,621739130434783;143
"IV2017022212325377";"1156230";"structuurplot";"6410_mo";87;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017022310474384";"2160774";"structuurplot";"6410_mo";55;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017022316243012";"2839602";"structuurplot";"6410_mo";50;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017022410260914";"742450";"structuurplot";"6410_mo";100;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017022411275584";"480306";"structuurplot";"6410_mo";100;"6230_ha";"6410_mo";"Binnen";"Atlantic";0,621739130434783;143
"IV2017112908192809";"1036446";"structuurplot";"6230_hmo";40;"6230_hn";NA;"Binnen";"Atlantic";5,635;1127
"IV2017112912245580";"823129";"structuurplot";"6230_hmo";74;"6230_ha";NA;"Binnen";"Atlantic";5,635;1127
"IV2017112913404044";"1428270";"structuurplot";"6230_hn";47;"6230_hn";NA;"Buiten";"Atlantic";9,9;792
"IV2017112915064012";"1642233";"structuurplot";"6410_mo";100;"6410_ve";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017113008452613";"6645958";"structuurplot";"6410_mo";60;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017113010285455";"6194105";"structuurplot";"6410_mo";64;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2017120107565546";"1348277";"structuurplot";"1330_hpr";71;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017120108515000";"299701";"structuurplot";"1330_hpr";95;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017120109300668";"1403657";"structuurplot";"1330_hpr";39;"1330_hpr";NA;"Binnen";"Atlantic";5,18125;829
"IV2017120111214650";"4599942";"structuurplot";"6410_ve";100;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2017120111560343";"2334854";"structuurplot";"6230_hmo";79;"6230_hmo";"7140_meso";"Binnen";"Atlantic";5,635;1127
"IV2017120112213868";"1040518";"structuurplot";"6230_hn";73;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2017120113271520";"2813697";"structuurplot";"6230_hn";45;"6230_hmo";"6230_hn";"Binnen";"Atlantic";7,67647058823529;1305
"IV2017120114521398";"8158406";"structuurplot";"6410_mo";60;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017120117561385";"8121542";"structuurplot";"6410_mo";90;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2017120118342938";"7072966";"structuurplot";"6410_mo";50;"6410_mo";NA;"Binnen";"Atlantic";0,621739130434783;143
"IV2018022813474152";"1443378";"structuurplot";"6230_hn";53;"6230_hn";NA;"Buiten";"Atlantic";9,9;792
"IV2018030221003731";"332786";"structuurplot";"6230_hn";47;"6230";NA;"Buiten";"Atlantic";9,9;792
"IV2018030414484080";"1085366";"structuurplot";"6230_hn";62;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2018030416111323";"983990";"structuurplot";"6230_hn";100;"6230_hn";NA;"Binnen";"Atlantic";7,67647058823529;1305
"IV2018030417514439";"309458";"structuurplot";"6230_hmo";90;"6230_hmo";"6230_hn";"Binnen";"Atlantic";5,635;1127
"IV2018030511543075";"2133926";"structuurplot";"6230_hmo";50;"6230_hmo";NA;"Binnen";"Atlantic";5,635;1127
"IV2018030513285216";"2264998";"structuurplot";"6230_hmo";100;"6230_hmo";NA;"Binnen";"Atlantic";5,635;1127
"IV2018030514502970";"3734950";"structuurplot";"6230_hn";83;"6230_hmo";NA;"Buiten";"Atlantic";9,9;792
"IV2018030614095561";"7203174";"structuurplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2018030711143521";"5624882";"structuurplot";"6410_ve";50;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
"IV2018030712002428";"589698";"structuurplot";"6230_hnk";50;"6230_hnk";NA;"Binnen";"Continental";3,6;36
"IV2018030714024007";"6948370";"structuurplot";"6410_mo";100;"6410_mo";NA;"Buiten";"Atlantic";0,922222222222222;83
"IV2018030715412818";"783954";"structuurplot";"6230_ha";28;"6230_ha";"6230_hn";"Binnen";"Atlantic";9,30666666666667;1396
"IV2018030719161925";"1140434";"structuurplot";"7140_meso";80;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2018030719311738";"1468114";"structuurplot";"7140_oli";70;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2018031009120638";"1367026";"structuurplot";"7140_oli";50;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2018031010111411";"222518";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2018031015311631";"1576886";"structuurplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2018031108343898";"471990";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2018031112563585";"369974";"structuurplot";"7140_meso";100;"7140_meso";NA;"Binnen";"Atlantic";6,17391304347826;1420
"IV2018031113221134";"717750";"structuurplot";"7140_oli";100;"7140_oli";NA;"Binnen";"Atlantic";9,97272727272727;1097
"IV2018082407540429";"6102322";"structuurplot";"6410_ve";90;"6410_ve";NA;"Binnen";"Atlantic";1,5;165
